, A
A, hive
Alone, all
And, I
Any, broad
Armed, for
At, the
Back, and
Bowed, head
Bringing, the
But, nobody
Can, make
Cause, nobody
Come, you
Did, you
Diggin, in
Does, it
Facedown, in
Fall, down
Have, lain
Hosts, to
How, to
I, can
Im, wrong
Into, a
Is, lost
It, ought
Its, in
Ive, got
Just, why
Last, night
Leaving, behind
Lying, thinking
Marked, the
Men, themselves
My, inner
No, nobody
Nobody, but
Now, if
Of, their
On, our
Or, have
Out, of
Phenomenal, woman
Phenomenally, Phenomenal
Pretty, women
Pumping, in
River, A
Rock, cries
Shoulders, falling
Still, I
Storm, clouds
That, nobody
The, race
Their, children
Then, they
There, are
They, say
Theyve, got
To, cure
Tree, Hosts
Up, from
Weakened, by
Welling, and
What, they
When, you
Where, water
Why, are
With, money
You, may
Your, mouths
a, home
about, Or
ages, But
air, I
alarm, of
all, alone
alone, Nobody
am, the
ancestors, gave
and, the
angels, have
another, breeze
arch, of
are, gathering
arms, The
around, me
as, you
awful, hard
back, The
backyard, You
banshees, Their
bars, of
bear, in
bees, I
behind, nights
believe, Im
bend, of
beset, with
bird, sings
bitter, twisted
black, ocean
blow, The
blues, Theyve
bowed, I
bread, loaf
breasts, The
breeze, and
bright, lawn
broad, alarm
broken, Bowed
bruising, darkness
built, to
but, nobody
by, my
cage, can
caged, bird
came, up
can, hear
cant, use
care, Cause
certainty, of
children, sing
claim, the
clear, I
clearly, forcefully
click, of
clipped, and
closely, I
clouds, are
come, as
cool, as
created, only
cries, Does
crouched, too
cure, their
curl, of
current, ends
cut, me
cute, or
dance, like
dares, to
darkness, Have
dawn, bright
daybreak, thats
departed, Marked
destiny, But
diamonds, At
dinosaur, who
dips, his
dirt, But
distant, destiny
do, not
doctors, To
dont, believe
doom, Is
down, on
downstream, till
dream, and
dreams, his
dried, tokens
dust, I
ends, and
expensive, doctors
eyes, And
face, You
falling, down
fashion, model
fat, worms
fear, I
fearful, trill
feet, Im
fellows, stand
find, my
fire, in
flash, of
floats, downstream
floor, Any
for, my
forcefully, Come
free, bird
freedom, A
from, a
gathering, The
gave, I
gifts, that
give, you
gloom, Cause
gold, mines
gonna, blow
got, expensive
grace, of
grave, of
hair, the
hand, The
hard, Cause
hastening, doom
hatefulness, But
haughtiness, offend
have, to
haven, in
he, opens
head, s
hear, the
heard, on
hearts, of
heels, The
here, alone
hide, your
hiding, place
high, Still
hill, for
hips, The
his, tune
history, With
historys, shame
hive, of
home, Where
honey, bees
hope, of
hopes, springing
huts, of
if, you
ignorance, Your
in, the
inner, mystery
into, a
is, suffering
it, out
joy, in
jump, about
kill, me
knees, Then
know, Storm
lain, too
laugh, like
lawn, and
leaping, and
leaps, on
left, dried
lies, I
like, banshees
lips, Im
listen, closely
little, lower
living, room
ll, tell
loaf, is
long, Facedown
longed, for
lost, in
loud, When
lower, than
lowered, eyes
make, it
man, is
mastodon, The
may, kill
me, Lying
meeting, of
millionaires, With
mines, Diggin
moan, Cause
model, s
money, they
moons, and
mouths, spilling
much, But
my, soul
mystery, When
names, the
narrow, cage
need, for
night, How
nightmare, scream
nights, of
no, hiding
nobody, Can
not, stone
ocean, leaping
of, man
offend, you
oil, wells
on, their
one, thing
only, a
opens, his
or, jump
orange, sun
ought, to
our, planet
out, here
own, backyard
pain, I
palm, of
passing, It
past, thats
place, down
planet, floor
please, And
proud, I
race, of
rage, his
rays, and
reach, of
real, loud
ride, of
rise, Pretty
room, Just
rooted, in
round, like
run, round
s, not
sassiness, upset
say, Its
scream, his
secret, lies
see, me
seek, no
seldom, see
sexiness, upset
shadow, I
shame, I
shoot, me
shout, or
shouts, on
show, them
sighing, trees
since, departed
sing, the
sings, of
size, But
sky, his
slaughter, The
slave, I
smile, The
so, much
soft, through
sojourn, here
some, millionaires
soul, a
soulful, cries
span, of
species, long
spilling, words
springing, high
stand, or
stands, on
start, to
step, The
still, cant
stone, But
stride, of
style, Im
suffering, And
suit, a
sun, of
suns, With
surprise, That
swarm, around
swelling, I
swing, in
take, it
talk, real
teardrops, Weakened
teeth, The
tell, you
telling, lies
terror, and
than, The
that, my
thats, me
thatstalks, down
the, moan
their, hearts
them, They
themselves, have
they, cant
thighs, Out
thing, And
things, unknown
think, Im
thinking, Last
thinks, of
thirsty, And
throat, to
through, the
tide, Leaving
tides, Just
tied, so
till, the
to, find
today, You
tokens, Of
too, long
touch, My
trade, winds
trees, and
trill, of
trod, me
try, to
tune, is
twisted, lies
understand, Just
unknown, but
up, with
upon, me
upset, you
us, today
use, Their
very, dirt
waist, And
waiting, on
walk, into
want, to
water, is
wells, Pumping
what, I
when, I
where, my
who, left
why, my
wide, Welling
will, give
wind, is
winds, soft
wing, in
wings, are
with, one
wives, run
woman, thats
women, wonder
wonder, where
wondered, What
wondrously, clear
words, You
worms, waiting
write, me
wrong, That
you, what
your, hatefulness
